               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.057205,            0.039498,            0.023041,             0.81273,             0.30716,             0.35172,             0.15663,            0.053862,            0.023262,            0.025775,            0.003763,            0.003763,            0.003763
                  65,            0.057915,            0.038434,            0.024229,             0.77606,             0.32286,             0.35576,             0.16152,            0.054423,            0.023468,            0.025766,            0.003664,            0.003664,            0.003664
                  66,            0.056534,            0.043392,             0.02309,             0.72863,             0.31286,             0.33638,              0.1483,            0.054894,            0.023373,             0.02574,            0.003565,            0.003565,            0.003565
                  67,            0.056658,            0.039371,            0.023504,             0.70744,             0.29753,             0.32882,              0.1499,            0.053524,            0.023487,             0.02794,            0.003466,            0.003466,            0.003466
                  68,             0.05588,            0.039414,            0.022692,             0.69157,             0.27966,             0.31222,             0.14064,            0.055811,            0.024236,            0.027272,            0.003367,            0.003367,            0.003367
                  69,            0.055599,            0.040153,            0.022965,             0.76045,             0.32778,             0.35371,             0.16148,            0.053677,            0.023424,            0.025514,            0.003268,            0.003268,            0.003268
                  70,            0.056895,            0.038667,             0.02408,             0.77405,             0.29999,             0.33572,             0.14866,            0.054999,            0.023558,            0.027164,            0.003169,            0.003169,            0.003169
                  71,            0.056198,            0.039905,            0.022748,             0.64537,             0.33076,              0.3336,             0.14465,             0.05556,            0.024438,            0.025683,             0.00307,             0.00307,             0.00307
                  72,            0.056472,            0.040042,            0.022156,             0.67398,             0.34621,             0.34441,             0.15269,            0.055693,            0.023052,            0.024542,            0.002971,            0.002971,            0.002971
                  73,            0.055379,            0.037125,            0.022898,             0.61826,             0.32474,             0.35201,              0.1521,            0.052558,            0.023509,             0.02393,            0.002872,            0.002872,            0.002872
                  74,            0.055241,            0.038146,            0.022038,             0.75971,             0.33968,             0.36318,             0.16701,            0.051946,            0.023346,            0.023913,            0.002773,            0.002773,            0.002773
                  75,            0.055864,            0.038867,            0.022942,             0.72811,             0.31499,             0.33762,               0.165,            0.053621,            0.023484,            0.024051,            0.002674,            0.002674,            0.002674
                  76,            0.054887,            0.038504,            0.022484,             0.64956,             0.34727,              0.3539,             0.15684,            0.053533,            0.022818,            0.024514,            0.002575,            0.002575,            0.002575
